City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Bonthe,SL,77.29,clear sky,7.5264,-12.505,Bonthe Holiday Village
296,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
298,Thinadhoo,MV,81.61,overcast clouds,0.5333,72.9333,
299,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
307,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
308,Moerai,PF,79.57,overcast clouds,-22.4333,-151.3333,Le Manotel
316,Semporna,MY,79.0,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
320,Tagusao,PH,82.04,overcast clouds,9.1924,117.8141,Green Villa beach resort
322,Muisne,EC,76.05,overcast clouds,0.6,-80.0333,Quinta Samay
326,Omboue,GA,78.28,overcast clouds,-1.5746,9.2618,Hotel Olako
328,Coruripe,BR,80.67,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
330,Flinders,AU,84.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
333,Harper,LR,77.0,scattered clouds,4.375,-7.7169,Screensaver
335,Iracoubo,GF,76.15,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
336,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
360,Acapetahua,MX,78.82,overcast clouds,15.2833,-92.7,Hotel Carmen
366,Ukiah,US,78.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
371,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
375,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
376,San Francisco,US,76.98,scattered clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
377,Picota,PE,77.49,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
378,Sibolga,ID,77.85,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
382,Peabiru,BR,82.62,scattered clouds,-23.9128,-52.3431,La visa hotel
386,Liku,ID,77.2,overcast clouds,-0.7275,119.8922,Wahyu
389,Les Cayes,HT,75.63,clear sky,18.2,-73.75,Villa Orphee
390,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
391,Gombong,ID,81.1,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
392,Vanimo,PG,81.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
395,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
400,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
422,Paracuru,BR,83.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
423,Dhidhdhoo,MV,80.56,overcast clouds,6.8833,73.1,Dhidhoo beach
426,Nanakuli,US,79.99,few clouds,21.3906,-158.1547,Camp Pālehua
430,Nisia Floresta,BR,82.78,clear sky,-6.0911,-35.2086,Rancho Crepusculo
432,San Pedro,PH,79.11,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
435,Finschhafen,PG,83.25,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
439,Yaan,NG,80.02,overcast clouds,7.3833,8.5667,
442,Rach Gia,VN,78.75,broken clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
443,Manaquiri,BR,79.29,overcast clouds,-3.3167,-60.35,
444,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
452,Sumenep,ID,79.48,heavy intensity rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
464,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
469,Juba,SS,79.25,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
476,San Lorenzo,PY,81.59,clear sky,-25.3333,-57.5333,Hotel del Sur
477,Gambela,ET,80.53,broken clouds,8.25,34.5833,Solomon Debebe Hotel
479,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
480,Tambacounda,SN,75.25,clear sky,13.7539,-13.7586,
483,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
485,Morondava,MG,78.46,few clouds,-20.2833,44.2833,La Case Bambou
491,Cockburn Town,TC,76.96,few clouds,21.4612,-71.1419,Osprey Beach Hotel
492,Japura,ID,77.5,broken clouds,-0.3167,102.35,Rumah mbah Jamah
502,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
503,Monrovia,LR,78.64,clear sky,6.3005,-10.7969,Sunset Inn
504,Porto Nacional,BR,75.2,moderate rain,-10.7081,-48.4172,Vila Real Hotel
510,Vieques,PR,75.85,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
517,Kiama,AU,84.25,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
527,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
535,Parrita,CR,83.97,broken clouds,9.5201,-84.3225,Beso del Viento
540,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
542,Belem De Sao Francisco,BR,77.05,overcast clouds,-8.7539,-38.9658,Village Hotel
546,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
547,Mangaratiba,BR,78.03,few clouds,-22.9597,-44.0406,Portobello Resort & Safari
550,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
553,Sumbe,AO,75.29,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
556,Kawalu,ID,77.32,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
557,Tecoanapa,MX,80.38,overcast clouds,16.5167,-98.75,Hotel Manglares
562,Dingle,PH,81.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
563,Bowen,AU,83.44,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
565,Tual,ID,80.13,broken clouds,-5.6667,132.75,Grand Vilia Hotel
572,Mandurah,AU,85.14,clear sky,-32.55,115.7,Atrium Hotel Mandurah
573,Tanete,ID,78.82,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
574,Mayumba,GA,77.58,overcast clouds,-3.432,10.6554,LIKWALE LODGE
