City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Labuhan,ID,2022-02-11 22:36:33,-6.8844,112.2051,74.89,90,100,0.2
68,Te Anau,NZ,2022-02-11 22:35:07,-45.4167,167.7167,62.87,54,98,4.81
69,Bintulu,MY,2022-02-11 22:36:33,3.1667,113.0333,73.81,100,40,3.44
70,Hilo,US,2022-02-11 22:36:25,19.7297,-155.09,80.8,61,40,6.91
71,Luderitz,NA,2022-02-11 22:36:34,-26.6481,15.1594,76.5,63,100,9.42
72,Mastung,PK,2022-02-11 22:36:34,29.7994,66.845,44.69,23,0,5.57
73,Bethel,US,2022-02-11 22:36:34,41.3712,-73.414,50.02,56,60,9.13
74,Upernavik,GL,2022-02-11 22:36:34,72.7868,-56.1549,-11.06,76,100,16.37
75,Nioro,GM,2022-02-11 22:36:35,13.35,-15.75,81.95,9,0,11.25
76,Hofn,IS,2022-02-11 22:36:35,64.2539,-15.2082,27.46,78,100,21.07
77,Arraial Do Cabo,BR,2022-02-11 22:36:35,-22.9661,-42.0278,75.06,88,75,0.0
78,Churapcha,RU,2022-02-11 22:36:35,62.0025,132.4325,-40.09,100,78,3.4
79,Tshikapa,CD,2022-02-11 22:36:36,-6.4167,20.8,71.91,88,85,2.01
80,Scottsbluff,US,2022-02-11 22:36:36,41.8666,-103.6672,37.81,49,75,27.63
81,Kruisfontein,ZA,2022-02-11 22:36:36,-34.0033,24.7314,61.52,85,0,1.63
82,Sao Filipe,CV,2022-02-11 22:36:36,14.8961,-24.4956,78.75,48,48,13.29
83,Butaritari,KI,2022-02-11 22:36:37,3.0707,172.7902,82.04,78,91,15.35
84,Rocha,UY,2022-02-11 22:36:37,-34.4833,-54.3333,70.38,92,83,8.86
85,Ponta Do Sol,PT,2022-02-11 22:36:37,32.6667,-17.1,65.03,79,29,5.08
86,Bluff,NZ,2022-02-11 22:36:38,-46.6,168.3333,56.8,66,38,17.27
87,Chokurdakh,RU,2022-02-11 22:36:38,70.6333,147.9167,-4.54,96,100,12.75
88,Aklavik,CA,2022-02-11 22:36:38,68.2191,-135.0107,-15.77,76,20,3.44
89,Bathsheba,BB,2022-02-11 22:36:38,13.2167,-59.5167,77.61,69,40,21.85
90,East London,ZA,2022-02-11 22:36:39,-33.0153,27.9116,73.65,88,80,5.73
91,Gavrilov-Yam,RU,2022-02-11 22:37:39,57.3018,39.8533,30.04,96,80,7.52
92,Andenes,NO,2022-02-11 22:37:39,69.3143,16.1194,21.18,79,0,11.5
93,Inhambane,MZ,2022-02-11 22:37:39,-23.865,35.3833,74.64,77,18,9.4
94,Port Elizabeth,ZA,2022-02-11 22:37:40,-33.918,25.5701,62.89,88,0,3.44
95,Tamuin,MX,2022-02-11 22:37:40,21.9833,-98.75,79.9,45,23,10.13
96,Yulara,AU,2022-02-11 22:37:40,-25.2406,130.9889,71.44,43,0,6.91
97,Qaanaaq,GL,2022-02-11 22:37:40,77.484,-69.3632,-23.26,57,0,7.16
98,Uppsala,SE,2022-02-11 22:37:41,60.0,17.75,27.79,63,100,11.5
99,Jaszapati,HU,2022-02-11 22:37:41,47.5167,20.15,42.71,58,100,16.33
100,Dingle,PH,2022-02-11 22:37:41,10.9995,122.6711,75.11,93,100,9.42
101,Kavieng,PG,2022-02-11 22:37:41,-2.5744,150.7967,82.2,75,100,3.24
102,Punta Arenas,CL,2022-02-11 22:36:25,-53.15,-70.9167,57.31,67,75,40.29
103,Changping,CN,2022-02-11 22:37:42,40.2186,116.2197,26.24,56,97,2.37
104,Hammerfest,NO,2022-02-11 22:34:41,70.6634,23.6821,27.05,100,100,16.11
105,Barrow,US,2022-02-11 22:37:42,71.2906,-156.7887,-32.78,100,0,4.61
106,Avarua,CK,2022-02-11 22:37:42,-21.2078,-159.775,82.45,74,45,10.36
107,Ilulissat,GL,2022-02-11 22:37:42,69.2167,-51.1,26.62,74,100,10.36
108,Hobyo,SO,2022-02-11 22:37:43,5.3505,48.5268,75.85,66,65,14.9
109,Cidreira,BR,2022-02-11 22:37:43,-30.1811,-50.2056,75.04,82,0,22.01
110,Meulaboh,ID,2022-02-11 22:37:43,4.1363,96.1285,75.11,83,99,4.23
111,Aswan,EG,2022-02-11 22:37:43,24.0934,32.907,52.9,46,0,6.91
112,Yichang,CN,2022-02-11 22:37:37,30.7144,111.2847,39.33,79,47,0.4
113,Padang,ID,2022-02-11 22:37:44,-0.9492,100.3543,77.61,78,100,3.02
114,Alice Springs,AU,2022-02-11 22:35:10,-23.7,133.8833,65.75,72,0,0.0
